row_id	grade	notes
R001	CORRECT
R002	CORRECT
R003	CORRECT	added with more context, not sure if friends part was right or not
R004	CORRECT	added with more context, not sure if eng assignment part was right or not
R005	CORRECT	unique design is not descriptive but correct
R006	wrong
R007	CORRECT	can be considered correct to an extent
R008	wrong
R009	wrong
R010	wrong	specific date is mentioned, can be true due to the specific date algo we had
R011	CORRECT
R012	WRONG
R013	PARTIAL CORRECT	MISSES OUT READING
R014	WRONG
R015	WRONG
R016	WRONG
R017	CORRECT
R018	WRONG
R019	WRONG
R020	PARTIAL CORRECT	MISSES OUT TWO
R021
R022	WRONG
R023	CORRECT
R024	WRONG
R025	WRONG
R026	WRONG - OR PARTIAL
R027	CORRECT
R028	CORRECT
R029	CORRECT
R030	CORRECT
R031	CORRECT - OR PARTIAL
R032	PARTIAL
R033	CORRECT - OR PARTIAL
R034	PARTIAL -CAN BE CORRECT
R035	CORRECT
R036	CORRECT
R037	PARTIAL - DETAILS MISSING
R038	WRONG
R039	CORRECT
R040	WRONG
R041	WRONG
R042	PARTIAL
R043	CORRECT
R044	WRONG
R045	CORRECT
R046	PARTIAL
R047	CORRECT - MISSING DETAILS
R048	CORRECT AND SPECIFIC
R049	WRONG
R050	CORRECT
R051	CORRECT - MISSING DETAILS
R052	WRONG
R053	PARTIAL
R054	WRONG
R055	CORRECT
R056	WRONG
R057	CORRECT
R058	CORRECT
R059	WRONG
R060	CORRECT
R061	CORRECT
R062	CORRECT
R063	WRONG
R064	PARTIAL
R065	WRONG
R066	WRONG
R067	CORRECT
R068	WRONG
R069	CORRECT AND SPECIFIC
R070	PARTIAL
R071	CORRECT
R072	WRONG
R073	CORRECT
R074	CORRECT - PARTIAL
R075	WRONG
R076	WRONG - OR PARTIAL
R077	CORRECT
R078	CORRECT
R079	WRONG
R080	CORRECT
R081	CORRECT
R082	CORRECT - NOT SPECIFIC
R083	PARTIAL
R084	CORRECT
R085	PARTIAL
R086	PARTIAL BUT WRONG
R087	CORRECT - NOT SPECIFIC
R088	CAN BE CORRECT
R089	CORRECT
R090	PARTIAL
R091	CORRECT - PARTIAL
R092	CORRECT
R093	PARTIAL
R094	WRONG
R095	WRONG
R096	CORRECT
R097	PARTIAL
R098	CLOSE WRONG
